Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740570003548,2300,2300,1506,1506,1500,1500,1700,1500,1506,1506,2300,1506,2300,2300,2300,1506,0,0,0,71.98455810546875,0,0,0,54.857906341552734,0,0,99.32080078125,0,0,86.0407943725586,0,0,0,69233.1382446289,52918.239990234375,34.16790771484375,16833806336,10737418240,7150841856,0
200,1740570003548,2300,2300,1506,1506,1500,1500,1700,1500,1506,1506,2300,1506,2300,2300,2300,1506,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,69233.1962890625,52918.291259765625,34.16790771484375,16833806336,10737418240,7150850048,0
200,1740570003748,2300,2300,1506,1506,1500,1500,1700,1500,1506,1506,2300,1506,2300,2300,2300,1506,1.2434463500976563,1.0034332275390625,1.0020523071289063,1.19097900390625,2.237274169921875,1.002105712890625,1.0010223388671875,2.4122543334960938,1.0039749145507813,1.003875732421875,2.905029296875,0.9812164306640625,0.9798355102539063,100,1.0013656616210938,1.001220703125,0,69238.35723876953,52923.00012207031,34.16790771484375,16833806336,10737418240,7150989312,0
200,1740570003949,2300,2300,1506,1506,1500,1500,1700,1500,1506,1506,2300,1506,2300,2300,2300,1506,0.10997772216796875,0.10968017578125,0.28325653076171875,0.10828399658203125,0.10863494873046875,0.1072845458984375,0.107086181640625,0.101104736328125,0.11157989501953125,0.11067962646484375,3.6206130981445313,0.038055419921875,0.03241729736328125,100,0.10858154296875,0.10843658447265625,0,69243.6323852539,52927.799743652344,34.16827392578125,16833806336,10737418240,7151112192,0
200,1740570004149,2300,2300,1506,1506,1500,1500,1700,1500,1506,1506,2300,1506,2300,2300,2300,1506,0.554840087890625,0.5546417236328125,0.553497314453125,0.5535507202148438,0.5535507202148438,0.553497314453125,0.5528564453125,0.56927490234375,0.554840087890625,0.5554351806640625,3.5273056030273438,0.5306320190429688,0.5290451049804688,99.99786376953125,0.5529022216796875,0.5533981323242188,0,69248.85302734375,52932.56524658203,34.16827392578125,16833806336,10737418240,7151321088,0
200,1740570004349,2300,2300,1506,1506,1500,1500,1700,1500,1506,1506,2300,1506,2300,2300,2300,1506,0,0,0,0,0,0,0,0,0,0,15.674522399902344,0,0,86.50769805908203,0,0,0,69254.04956054688,52937.29748535156,34.16827392578125,16833806336,10737418240,7151251456,0
200,1740570004550,2300,2300,1506,1506,1500,1500,1700,1500,1506,1506,2300,1506,2300,2300,2300,1506,0,0,0,0,0.20528411865234375,0,0.04636383056640625,0.176422119140625,0,0,20.90845489501953,0,0,83.23910522460938,0,0,0,69259.25744628906,52942.00720214844,34.16851806640625,16833806336,10737418240,7151558656,0
