Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740568953938,2300,2300,1506,1506,1700,1700,1700,1700,1506,1506,2300,2300,1506,1506,2300,2300,15.134391784667969,15.133224487304688,15.143730163574219,15.140228271484375,36.6905632019043,14.450180053710938,14.442008972167969,14.438499450683594,15.116874694824219,15.120376586914063,99.97664642333984,14.493377685546875,99.85404968261719,14.541252136230469,25.817901611328125,15.097030639648438,0,67676.37133789063,52052.267639160156,33.25933837890625,16833806336,10737418240,7148515328,0
200,1740568953938,2300,2300,1506,1506,1700,1700,1700,1700,1506,1506,2300,2300,1506,1506,2300,2300,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,67676.45196533203,52052.33874511719,33.25933837890625,16833806336,10737418240,7150116864,0
200,1740568954138,2300,2300,1506,1506,1700,1700,1700,1700,1506,1506,2300,2300,1506,1506,2300,2300,0.1496429443359375,0.15009307861328125,0.47354888916015625,0.15372467041015625,1.8394012451171875,1.4341354370117188,0.125274658203125,0.12517547607421875,0.1490478515625,0.1507415771484375,16.549644470214844,0.12890625,92.18226623535156,0.12945556640625,0.9711227416992188,0.152679443359375,0,67681.70977783203,52057.1279296875,33.25933837890625,16833806336,10737418240,7153184768,0
200,1740568954339,2300,2300,1506,1506,1700,1700,1700,1700,1506,1506,2300,2300,1506,1506,2300,2300,0.17919158935546875,0.17894744873046875,0.17894744873046875,0.17884063720703125,0.7194671630859375,0.194305419921875,0.1805419921875,0.1779937744140625,0.18048858642578125,0.18123626708984375,2.3070144653320313,0.15375518798828125,99.99870300292969,0.15116119384765625,0.5206756591796875,0.1775970458984375,0,67686.92840576172,52061.90246582031,33.25933837890625,16833806336,10737418240,7153930240,0
200,1740568954539,2300,2300,1506,1506,1700,1700,1700,1700,1506,1506,2300,2300,1506,1506,2300,2300,0.0782470703125,0.0774993896484375,0.0762481689453125,0.07689666748046875,0.39068603515625,0.0986175537109375,0.07599639892578125,0.0753021240234375,0.078399658203125,0.07814788818359375,28.881179809570313,0.05307769775390625,74.4653549194336,0.05197906494140625,0.07709503173828125,0.07740020751953125,0,67692.06140136719,52066.54913330078,33.2596435546875,16833806336,10737418240,7153786880,0
199,1740568954739,2300,2300,1506,1506,1700,1700,1700,1700,1506,1506,2300,2300,1506,1506,2300,2300,0,0,0,0,0.019073486328125,9.757667541503906,7.572029113769531,7.567481994628906,0,0,55.021385192871094,0,48.55708694458008,0,0.43536376953125,0,0,67697.17547607422,52071.163146972656,33.2596435546875,16833806336,10737418240,7160074240,0
200,1740568954939,2300,2300,1506,1506,1700,1700,1700,1700,1506,1506,2300,2300,1506,1506,2300,2300,0.24143218994140625,0.2419281005859375,0.41123199462890625,0.241729736328125,0.24127960205078125,0.24092864990234375,0.2408294677734375,0.23968505859375,0.242431640625,0.24163055419921875,2.6853866577148438,0.218536376953125,100,0.21604156494140625,0.24143218994140625,0.24188232421875,0,67702.41430664063,52075.952697753906,33.2596435546875,16833806336,10737418240,7160467456,0
