Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740569077258,1506,2300,2300,2300,1500,1500,1500,1700,2300,1506,1506,2300,2300,2300,2300,1506,27.457626342773438,26.29022216796875,26.3446044921875,26.297470092773438,60.9897575378418,25.363906860351563,25.35303497314453,25.356658935546875,26.33191680908203,26.32103729248047,99.8912353515625,25.41466522216797,99.35103607177734,25.41466522216797,26.244903564453125,26.286598205566406,0,67864.67901611328,52155.558837890625,33.35821533203125,16833806336,10737418240,7158812672,0
200,1740569077258,1506,2300,2300,2300,1500,1500,1500,1700,2300,1506,1506,2300,2300,2300,2300,1506,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,67864.79638671875,52155.66131591797,33.35821533203125,16833806336,10737418240,7158841344,0
200,1740569077458,1506,2300,2300,2300,1500,1500,1500,1700,2300,1506,1506,2300,2300,2300,2300,1506,1.2493362426757813,1.1107254028320313,1.1147079467773438,1.1149063110351563,1.3542098999023438,1.3918914794921875,1.1172943115234375,1.1173934936523438,7.8942718505859375,1.1156539916992188,50.513427734375,1.0921554565429688,46.19426727294922,1.0955429077148438,1.1148529052734375,1.1143035888671875,0,67869.2788696289,52159.69482421875,33.35821533203125,16833806336,10737418240,7159201792,0
200,1740569077659,1506,2300,2300,2300,1500,1500,1500,1700,2300,1506,1506,2300,2300,2300,2300,1506,0.06287384033203125,0.06262969970703125,0.2923431396484375,0.06412506103515625,0.06227874755859375,0.0614776611328125,0.06133270263671875,0.06003570556640625,0.062225341796875,0.06542205810546875,2.071075439453125,0.0379486083984375,100,0.03675079345703125,0.06157684326171875,0.05873870849609375,0,67873.8394165039,52163.822265625,33.35821533203125,16833806336,10737418240,7159463936,0
200,1740569077859,1506,2300,2300,2300,1500,1500,1500,1700,2300,1506,1506,2300,2300,2300,2300,1506,0.08583831787109375,0.08548736572265625,0.0826416015625,0.08348846435546875,0.0799407958984375,0.079345703125,0.08109283447265625,0.08099365234375,0.08333587646484375,0.08348846435546875,56.32749557495117,0.05850982666015625,45.67668914794922,0.05850982666015625,0.08383941650390625,0.08423614501953125,0,67878.49743652344,52168.045166015625,33.3583984375,16833806336,10737418240,7159726080,0
200,1740569078059,1506,2300,2300,2300,1500,1500,1500,1700,2300,1506,1506,2300,2300,2300,2300,1506,0,0,0,0,0.20601654052734375,0.01567840576171875,0.0529632568359375,0.044281005859375,0,0,30.84344482421875,0,73.82068634033203,0,0,0,0,67883.12762451172,52172.20739746094,33.35870361328125,16833806336,10737418240,7160295424,0
200,1740569078259,1506,2300,2300,2300,1500,1500,1500,1700,2300,1506,1506,2300,2300,2300,2300,1506,0.1598968505859375,0.15889739990234375,0.1575927734375,0.15854644775390625,0.15749359130859375,0.15779876708984375,0.15744781494140625,0.1558990478515625,0.15839385986328125,0.15874481201171875,13.620460510253906,0.13437652587890625,90.30377197265625,0.1332244873046875,0.1568450927734375,0.15819549560546875,0,67887.74822998047,52176.390686035156,33.35870361328125,16833806336,10737418240,7160594432,0
200,1740569078460,1506,2300,2300,2300,1500,1500,1500,1700,2300,1506,1506,2300,2300,2300,2300,1506,0.116302490234375,0.11655426025390625,0.1143035888671875,0.11450958251953125,0.1148529052734375,0.1144561767578125,0.1143035888671875,0.11270904541015625,0.116455078125,0.116302490234375,2.28472900390625,0.0909881591796875,100,0.08943939208984375,0.11530303955078125,0.11435699462890625,0,67892.34381103516,52180.55047607422,33.35870361328125,16833806336,10737418240,7160832000,0
