Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740568213270,2300,2300,2300,1506,1700,1500,1700,1500,2300,2300,2300,2300,1506,2300,2300,1506,23.193618774414063,23.192489624023438,23.151885986328125,23.145118713378906,22.62627410888672,22.616119384765625,22.61724853515625,44.306209564208984,23.167678833007813,23.894065856933594,99.9718017578125,22.601455688476563,22.602584838867188,100,23.10564422607422,23.130455017089844,0,66603.03839111328,51442.82019042969,32.59844970703125,16833806336,10737418240,7141982208,0
200,1740568213270,2300,2300,2300,1506,1700,1500,1700,1500,2300,2300,2300,2300,1506,2300,2300,1506,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,66603.11981201172,51442.891174316406,32.59844970703125,16833806336,10737418240,7142580224,0
200,1740568213471,2300,2300,2300,1506,1700,1500,1700,1500,2300,2300,2300,2300,1506,2300,2300,1506,0.07268524169921875,0.0713958740234375,0.0691986083984375,0.06999969482421875,1.3184661865234375,0.0702972412109375,0.0691986083984375,0.7536468505859375,0.04673004150390625,8.133544921875,2.4486541748046875,0.00742340087890625,0,92.50914764404297,0.261260986328125,0.0490264892578125,0,66607.87475585938,51447.17822265625,32.5986328125,16833806336,10737418240,7143407616,0
200,1740568213671,2300,2300,2300,1506,1700,1500,1700,1500,2300,2300,2300,2300,1506,2300,2300,1506,0.06874847412109375,0.0679931640625,0.23793792724609375,0.06729888916015625,0.06745147705078125,0.06745147705078125,0.06710052490234375,0.06500244140625,0.07024383544921875,0.06984710693359375,22.63050079345703,0.0428314208984375,0.04308319091796875,80.92760467529297,0.06894683837890625,0.06939697265625,0,66612.60754394531,51451.431396484375,32.59912109375,16833806336,10737418240,7143874560,0
200,1740568213871,2300,2300,2300,1506,1700,1500,1700,1500,2300,2300,2300,2300,1506,2300,2300,1506,0,0,0,0,0,1.5719985961914063,6.224769592285156,6.2547607421875,0,1.8060989379882813,28.16028594970703,0,0,75.13987731933594,0,0,0,66617.49853515625,51455.833557128906,32.59912109375,16833806336,10737418240,7151566848,0
200,1740568214071,2300,2300,2300,1506,1700,1500,1700,1500,2300,2300,2300,2300,1506,2300,2300,1506,0.27097320556640625,0.26912689208984375,0.26917266845703125,0.26982879638671875,0.27037811279296875,0.269927978515625,0.2695770263671875,1.0906906127929688,0.271820068359375,0.756622314453125,37.8569450378418,0.24779510498046875,0.24839019775390625,64.76736450195313,0.26987457275390625,0.26967620849609375,0,66622.22253417969,51460.102478027344,32.59912109375,16833806336,10737418240,7151734784,0
200,1740568214272,2300,2300,2300,1506,1700,1500,1700,1500,2300,2300,2300,2300,1506,2300,2300,1506,0,0,0,0,0,0,0,0,0,0,27.170623779296875,0,0,76.40476989746094,0,0,0,66626.97723388672,51464.373291015625,32.59942626953125,16833806336,10737418240,7151980544,0
200,1740568214472,2300,2300,2300,1506,1700,1500,1700,1500,2300,2300,2300,2300,1506,2300,2300,1506,0.23052978515625,0.23038482666015625,0.2326812744140625,0.23227691650390625,0.2293853759765625,0.23003387451171875,0.22888946533203125,0.2267913818359375,0.230133056640625,0.23043060302734375,28.315040588378906,0.2066802978515625,0.2068328857421875,73.80825805664063,0.22968292236328125,0.23023223876953125,0,66631.70391845703,51468.64636230469,32.59942626953125,16833806336,10737418240,7152242688,0
