Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740571052836,2300,1506,1506,1506,1700,1700,1500,1500,1506,1506,2300,2300,2300,2300,2300,1506,0,0,0,0,0,0,0,11.798210144042969,0,0,100,0,99.8779525756836,0,0,0,0,70827.35321044922,53797.49639892578,35.08587646484375,16833806336,10737418240,7193743360,0
200,1740571052836,2300,1506,1506,1506,1700,1700,1500,1500,1506,1506,2300,2300,2300,2300,2300,1506,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,70827.46014404297,53797.587646484375,35.08587646484375,16833806336,10737418240,7194099712,0
200,1740571053036,2300,1506,1506,1506,1700,1700,1500,1500,1506,1506,2300,2300,2300,2300,2300,1506,2.1687774658203125,2.169708251953125,2.4084548950195313,2.1740188598632813,2.1729965209960938,2.1737289428710938,2.4443130493164063,2.6434249877929688,2.24981689453125,2.1695175170898438,5.1271820068359375,2.1504058837890625,99.99882507324219,2.14599609375,2.4813079833984375,2.1716690063476563,0,70831.11450195313,53800.79113769531,35.08587646484375,16833806336,10737418240,7195504640,0
200,1740571053237,2300,1506,1506,1506,1700,1700,1500,1500,1506,1506,2300,2300,2300,2300,2300,1506,0.07401275634765625,0.0742645263671875,0.0759124755859375,0.075958251953125,0.0738677978515625,0.0735626220703125,0.39874267578125,0.07216644287109375,0.0727691650390625,0.07236480712890625,21.96227264404297,0.04962158203125,81.02760314941406,0.04897308349609375,0.07341766357421875,0.0735626220703125,0,70835.66381835938,53804.88671875,35.08587646484375,16833806336,10737418240,7193018368,0
200,1740571053437,2300,1506,1506,1506,1700,1700,1500,1500,1506,1506,2300,2300,2300,2300,2300,1506,0,0,0.04631805419921875,0,0,0,0,0,0,0,59.498294830322266,0,43.540767669677734,0,0,0,0,70840.154296875,53808.91046142578,35.0863037109375,16833806336,10737418240,7193329664,0
200,1740571053637,2300,1506,1506,1506,1700,1700,1500,1500,1506,1506,2300,2300,2300,2300,2300,1506,0.0790557861328125,0.07935333251953125,0.0746612548828125,0.07880401611328125,0.0789031982421875,0.07875823974609375,12.993110656738281,3.2296524047851563,1.6722793579101563,0.078857421875,57.23908233642578,0.05428314208984375,45.833457946777344,0.05333709716796875,0.07550811767578125,0.07935333251953125,0,70844.61981201172,53812.890075683594,35.0863037109375,16833806336,10737418240,7199195136,0
200,1740571053838,2300,1506,1506,1506,1700,1700,1500,1500,1506,1506,2300,2300,2300,2300,2300,1506,0.2237548828125,0.2239990234375,0.22429656982421875,0.22464752197265625,0.2245025634765625,0.2241973876953125,0.2239532470703125,0.22295379638671875,0.32854461669921875,0.223602294921875,30.459442138671875,0.19716644287109375,73.28223419189453,0.1992645263671875,0.27378082275390625,0.223052978515625,0,70849.27850341797,53817.08221435547,35.08648681640625,16833806336,10737418240,7199457280,0
200,1740571054038,2300,1506,1506,1506,1700,1700,1500,1500,1506,1506,2300,2300,2300,2300,2300,1506,0.1141815185546875,0.1137847900390625,0.11138916015625,0.1113433837890625,0.11203765869140625,0.11203765869140625,0.11179351806640625,0.11019134521484375,0.11368560791015625,0.113037109375,78.9383544921875,0.08863067626953125,23.43902587890625,0.08623504638671875,0.112091064453125,0.111541748046875,0,70853.60192871094,53820.953369140625,35.08648681640625,16833806336,10737418240,7199371264,0
200,1740571054239,2300,1506,1506,1506,1700,1700,1500,1500,1506,1506,2300,2300,2300,2300,2300,1506,0,0,0,0,0,0,7.587455749511719,0,0,0,2.5612869262695313,0,100,0,0,0,0,70858.55755615234,53825.43127441406,35.08648681640625,16833806336,10737418240,7199698944,0
