Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740514291859,1506,1506,1506,2300,1500,1500,1500,1500,1506,1506,2300,2300,2300,2300,2300,2300,22.881385803222656,0,11.837165832519531,0,0,0,0,0,0,0,99.69979095458984,0,99.65247344970703,0,0,0,0,21825.601440429688,12000.637573242188,40.17303466796875,16833806336,10737418240,8578027520,0
200,1740514291859,1506,1506,1506,2300,1500,1500,1500,1500,1506,1506,2300,2300,2300,2300,2300,2300,35.451385498046875,35.44072723388672,35.474029541015625,35.48735046386719,35.56993865966797,35.541969299316406,35.51665496826172,35.44206237792969,35.43939208984375,35.427406311035156,100,34.857261657714844,85.58126831054688,34.86125946044922,35.52997589111328,35.51665496826172,0,21825.654296875,12000.674194335938,40.17303466796875,16833806336,10737418240,8579780608,0
200,1740514292060,1506,1506,1506,2300,1500,1500,1500,1500,1506,1506,2300,2300,2300,2300,2300,2300,12.316009521484375,3.5232009887695313,2.72235107421875,0,0,0,0,7.6276702880859375,7.702613830566406,0,92.9266357421875,0,13.776763916015625,0,0.08632659912109375,0,0,21827.383178710938,12001.944396972656,40.17303466796875,16833806336,10737418240,8584560640,0
201,1740514292260,1506,1506,1506,2300,1500,1500,1500,1500,1506,1506,2300,2300,2300,2300,2300,2300,1.8242340087890625,1.8216781616210938,2.3018951416015625,1.798736572265625,1.9023590087890625,1.8922195434570313,1.8871994018554688,1.8837509155273438,1.8309326171875,1.831817626953125,100,1.7039718627929688,13.201148986816406,1.708404541015625,1.8267974853515625,1.8245315551757813,0,21829.02508544922,12003.150634765625,40.17303466796875,16833806336,10737418240,8583741440,0
200,1740514292462,1506,1506,1506,2300,1500,1500,1500,1500,1506,1506,2300,2300,2300,2300,2300,2300,0.17479705810546875,0,4.11956787109375,0,0,0,0,0,0.0301971435546875,0,95.16282653808594,0,26.761383056640625,0,0.00434112548828125,0,0,21830.74560546875,12004.404541015625,40.17303466796875,16833806336,10737418240,8582795264,0
200,1740514292662,1506,1506,1506,2300,1500,1500,1500,1500,1506,1506,2300,2300,2300,2300,2300,2300,29.305763244628906,0,24.589706420898438,0,0,0,0,0,3.1239852905273438,0,73.44808197021484,0,76.72660827636719,0,0,0,0,21832.89080810547,12005.959045410156,40.19451904296875,16833806336,10737418240,8582209536,0
200,1740514292863,1506,1506,1506,2300,1500,1500,1500,1500,1506,1506,2300,2300,2300,2300,2300,2300,0,0,0.5251998901367188,0,0,0,0,0,0,0,96.04798126220703,0,16.302162170410156,0,0,0,0,21834.49969482422,12007.123229980469,40.19451904296875,16833806336,10737418240,8581017600,0
200,1740514293063,1506,1506,1506,2300,1500,1500,1500,1500,1506,1506,2300,2300,2300,2300,2300,2300,1.3976974487304688,1.0352096557617188,9.877082824707031,1.0276260375976563,1.0348663330078125,1.0364913940429688,1.499420166015625,1.9148101806640625,1.0624008178710938,1.0186080932617188,86.03414916992188,0.9692001342773438,29.727264404296875,0.9604339599609375,1.03033447265625,1.0306243896484375,0,21836.217346191406,12008.365844726563,40.196044921875,16833806336,10737418240,8584400896,0
200,1740514293263,1506,1506,1506,2300,1500,1500,1500,1500,1506,1506,2300,2300,2300,2300,2300,2300,0,0,12.971572875976563,0,0,0,0,0,0,0,83.86544799804688,0,45.611419677734375,0,0,0,0,21837.969848632813,12009.605895996094,40.19891357421875,16833806336,10737418240,8584179712,0
201,1740514293464,1506,1506,1506,2300,1500,1500,1500,1500,1506,1506,2300,2300,2300,2300,2300,2300,2.4561309814453125,2.3442535400390625,17.30565643310547,2.3186721801757813,2.4073638916015625,2.41107177734375,2.4046783447265625,2.4017486572265625,2.3846664428710938,2.3849105834960938,74.53105163574219,2.3062744140625,46.176666259765625,2.3199462890625,2.3949203491210938,2.3875961303710938,0,21839.604431152344,12010.722839355469,40.20294189453125,16833806336,10737418240,8583888896,0
200,1740514293665,1506,1506,1506,2300,1500,1500,1500,1500,1506,1506,2300,2300,2300,2300,2300,2300,0,0,11.470451354980469,0,0,0,0,0,0,0,81.4058837890625,0,32.43646240234375,0,0,0,0,21841.35076904297,12011.957336425781,40.20672607421875,16833806336,10737418240,8583684096,0
200,1740514293866,1506,1506,1506,2300,1500,1500,1500,1500,1506,1506,2300,2300,2300,2300,2300,2300,0.23197174072265625,0.0391998291015625,10.540275573730469,0.03945159912109375,0.0326080322265625,0.03281402587890625,0.032012939453125,0.02976226806640625,0.062225341796875,0.0626220703125,64.05839538574219,0,52.83607864379883,0,0.03925323486328125,0.0381011962890625,0,21842.916870117188,12013.023620605469,40.2098388671875,16833806336,10737418240,8583413760,0
