Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740514355001,1506,2300,1506,2300,1500,1500,1500,1500,2300,1506,2300,2300,2300,2300,1506,2300,53.1831169128418,15.370887756347656,16.50872802734375,15.327171325683594,15.374435424804688,15.381523132324219,15.380340576171875,15.337806701660156,20.322799682617188,15.380340576171875,99.86885070800781,14.750572204589844,100,14.832099914550781,62.489070892333984,14.829734802246094,0,22004.199645996094,12091.523010253906,41.0042724609375,16833806336,10737418240,8660058112,0
200,1740514355001,1506,2300,1506,2300,1500,1500,1500,1500,2300,1506,2300,2300,2300,2300,1506,2300,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,22004.276245117188,12091.581115722656,41.0042724609375,16833806336,10737418240,8660119552,0
210,1740514355202,1506,2300,1506,2300,1500,1500,1500,1500,2300,1506,2300,2300,2300,2300,1506,2300,11.116859436035156,2.796356201171875,2.8951797485351563,2.795928955078125,11.7535400390625,15.2840576171875,9.219024658203125,3.2858428955078125,5.9456329345703125,2.8012161254882813,56.683204650878906,18.590438842773438,48.167850494384766,2.94769287109375,5.102607727050781,2.7964553833007813,0,22005.876037597656,12092.615600585938,41.0106201171875,16833806336,10737418240,8668332032,0
200,1740514355413,1506,2300,1506,2300,1500,1500,1500,1500,2300,1506,2300,2300,2300,2300,1506,2300,2.4579238891601563,0,0,0,0,0,0,0,0,0,61.44672775268555,0,63.03838348388672,0,0,0,0,22007.464965820313,12093.645141601563,41.01251220703125,16833806336,10737418240,8667930624,0
199,1740514355613,1506,2300,1506,2300,1500,1500,1500,1500,2300,1506,2300,2300,2300,2300,1506,2300,13.37432861328125,1.5671234130859375,1.8041229248046875,1.60040283203125,1.6185302734375,1.6188278198242188,1.6172103881835938,1.6132431030273438,12.001663208007813,1.5728607177734375,71.41767120361328,1.5657501220703125,79.06212615966797,1.5537948608398438,2.4199371337890625,1.6164779663085938,0,22009.43994140625,12095.052795410156,41.01605224609375,16833806336,10737418240,8676593664,0
200,1740514355813,1506,2300,1506,2300,1500,1500,1500,1500,2300,1506,2300,2300,2300,2300,1506,2300,24.273399353027344,0.0377197265625,0.26080322265625,0.04354095458984375,0.04620361328125,0.04976654052734375,0.0451507568359375,0.0427398681640625,22.291229248046875,0.0365142822265625,60.84109115600586,0.01697540283203125,83.18284606933594,0.01853179931640625,5.017852783203125,0.041534423828125,0,22011.691162109375,12096.642883300781,41.0587158203125,16833806336,10737418240,8677806080,0
200,1740514356014,1506,2300,1506,2300,1500,1500,1500,1500,2300,1506,2300,2300,2300,2300,1506,2300,6.43634033203125,0.1928253173828125,0.20166778564453125,0.200714111328125,0.21210479736328125,0.21305084228515625,0.22344207763671875,0.2094573974609375,0.4083251953125,0.20610809326171875,41.643402099609375,0.165557861328125,68.43128967285156,0.1619110107421875,0.20186614990234375,0.2005157470703125,0,22013.276123046875,12097.733459472656,41.05963134765625,16833806336,10737418240,8677875712,0
200,1740514356214,1506,2300,1506,2300,1500,1500,1500,1500,2300,1506,2300,2300,2300,2300,1506,2300,1.523406982421875,0,0,0,0.0224761962890625,0.02112579345703125,0.31905364990234375,0.6120452880859375,0.6516571044921875,0,43.03269577026367,0,88.30323791503906,0,0.07230377197265625,0,0,22014.957153320313,12098.932983398438,41.0606689453125,16833806336,10737418240,8680296448,0
200,1740514356414,1506,2300,1506,2300,1500,1500,1500,1500,2300,1506,2300,2300,2300,2300,1506,2300,6.908660888671875,0,0,0,0,0,0,0,1.708831787109375,0,46.704612731933594,0,76.98994445800781,0,0,0,0,22016.625427246094,12100.079162597656,41.06201171875,16833806336,10737418240,8681099264,0
200,1740514356615,1506,2300,1506,2300,1500,1500,1500,1500,2300,1506,2300,2300,2300,2300,1506,2300,3.9467697143554688,0.8266830444335938,0.87847900390625,0.8803634643554688,0.9403762817382813,0.936767578125,0.94989013671875,0.9476547241210938,1.3696136474609375,0.8810577392578125,58.00225830078125,0.8124237060546875,75.77031707763672,0.809600830078125,0.8739700317382813,0.8727874755859375,0,22018.18292236328,12101.125183105469,41.0635986328125,16833806336,10737418240,8681295872,0
