Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740513030619,2300,1506,1506,1506,1500,1500,1500,1500,2300,2300,2300,2300,2300,2300,1506,2300,39.269989013671875,0,0,0,0,100,100,100,0,0,99.68025207519531,0,100,0,47.96221923828125,0,0,19677.866821289063,10992.164428710938,36.76446533203125,16833806336,10737418240,8678686720,0
200,1740513030619,2300,1506,1506,1506,1500,1500,1500,1500,2300,2300,2300,2300,2300,2300,1506,2300,76.85501098632813,16.35162353515625,48.4808349609375,16.998695373535156,16.669212341308594,100,100,80.2652816772461,24.763504028320313,16.806777954101563,99.90489196777344,16.455223083496094,99.90828704833984,16.383895874023438,50.18257141113281,16.893394470214844,0,19677.968994140625,10992.2421875,36.76446533203125,16833806336,10737418240,8682532864,0
200,1740513030819,2300,1506,1506,1506,1500,1500,1500,1500,2300,2300,2300,2300,2300,2300,1506,2300,28.165618896484375,1.409149169921875,27.290748596191406,1.4117507934570313,1.458984375,4.487205505371094,4.4767608642578125,1.4593734741210938,28.073265075683594,1.4106674194335938,46.04219436645508,48.14095687866211,80.37849426269531,14.865028381347656,18.38495635986328,1.4322967529296875,0,19680.28985595703,10994.001220703125,36.771728515625,16833806336,10737418240,8687083520,0
200,1740513031020,2300,1506,1506,1506,1500,1500,1500,1500,2300,2300,2300,2300,2300,2300,1506,2300,23.30243682861328,0,17.27196502685547,0,0,0,0,0,17.747657775878906,0,54.06256866455078,22.735092163085938,83.48220825195313,2.7774200439453125,28.69007110595703,0,0,19682.483947753906,10995.648681640625,36.7750244140625,16833806336,10737418240,8686981120,0
200,1740513031220,2300,1506,1506,1506,1500,1500,1500,1500,2300,2300,2300,2300,2300,2300,1506,2300,16.112472534179688,0,23.899147033691406,0,0,0,0,0,19.744407653808594,0,42.227481842041016,35.46532440185547,88.35652160644531,0,20.440185546875,0,0,19684.744567871094,10997.347412109375,36.7821044921875,16833806336,10737418240,8690941952,0
200,1740513031420,2300,1506,1506,1506,1500,1500,1500,1500,2300,2300,2300,2300,2300,2300,1506,2300,43.3228874206543,2.5280609130859375,39.04174041748047,2.5041275024414063,2.5242385864257813,2.5235977172851563,2.5228652954101563,2.5206069946289063,40.579681396484375,2.5244293212890625,69.48832702636719,11.861312866210938,87.82936096191406,2.9384841918945313,37.95003128051758,2.505157470703125,0,19687.195190429688,10999.140747070313,36.8135986328125,16833806336,10737418240,8690888704,0
199,1740513031621,2300,1506,1506,1506,1500,1500,1500,1500,2300,2300,2300,2300,2300,2300,1506,2300,10.147254943847656,0,11.065589904785156,0,0,0,0,0,15.701423645019531,0,27.738548278808594,10.695236206054688,86.45658111572266,0,9.378837585449219,0,0,19689.124267578125,11000.560729980469,36.8153076171875,16833806336,10737418240,8690663424,0
200,1740513031821,2300,1506,1506,1506,1500,1500,1500,1500,2300,2300,2300,2300,2300,2300,1506,2300,34.97388458251953,0,45.38186264038086,0,0,0,0,0,2.9096755981445313,0,35.638092041015625,0.6350326538085938,97.2648696899414,0,34.546295166015625,0,0,19691.222900390625,11002.196533203125,36.8153076171875,16833806336,10737418240,8690839552,0
200,1740513032021,2300,1506,1506,1506,1500,1500,1500,1500,2300,2300,2300,2300,2300,2300,1506,2300,0.7579345703125,0.74847412109375,0.8670730590820313,0.72332763671875,0.7336273193359375,0.7331314086914063,1.1014022827148438,1.0138397216796875,0.7512969970703125,0.7495651245117188,31.46076202392578,0.6994247436523438,89.03286743164063,0.6846237182617188,2.0996017456054688,0.7274856567382813,0,19692.884826660156,11003.407592773438,36.8153076171875,16833806336,10737418240,8692281344,0
200,1740513032222,2300,1506,1506,1506,1500,1500,1500,1500,2300,2300,2300,2300,2300,2300,1506,2300,0,0,64.599609375,0,0,0,0,0,0,0,50.72008514404297,0,97.70072937011719,0,55.10273361206055,0,0,19695.022338867188,11005.078491210938,36.8153076171875,16833806336,10737418240,8692469760,0
