Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740512336074,1506,1506,1506,1506,1500,1500,1500,1500,1506,2300,2300,2300,2300,2300,1506,1506,6.3134002685546875,0,79.8576889038086,0,0,0,0,0,0,0,0,99.58660125732422,87.90375518798828,0,0,56.73394775390625,0,17929.494018554688,10175.518310546875,35.35076904296875,16833806336,10737418240,8769728512,0
200,1740512336074,1506,1506,1506,1506,1500,1500,1500,1500,1506,2300,2300,2300,2300,2300,1506,1506,45.62699508666992,45.19768524169922,47.39084243774414,45.3807258605957,45.86162185668945,45.85829162597656,45.83333206176758,45.79672622680664,45.0329475402832,45.00798797607422,44.78667449951172,100,99.65388488769531,44.5903205871582,45.01630783081055,46.97151184082031,0,17929.53857421875,10175.550842285156,35.35076904296875,16833806336,10737418240,8769777664,0
199,1740512336275,1506,1506,1506,1506,1500,1500,1500,1500,1506,2300,2300,2300,2300,2300,1506,1506,1.9940719604492188,0,7.7859344482421875,0,0,0,0,0,0,0,0,46.181827545166016,73.62086486816406,0,0,10.668502807617188,0,17931.222900390625,10176.701232910156,35.36138916015625,16833806336,10737418240,8769908736,0
200,1740512336475,1506,1506,1506,1506,1500,1500,1500,1500,1506,2300,2300,2300,2300,2300,1506,1506,1.40576171875,1.2166671752929688,1.4980850219726563,1.2157745361328125,1.214935302734375,1.2137451171875,1.2133026123046875,1.2111282348632813,1.2177505493164063,1.2176589965820313,2.1031570434570313,64.32780456542969,56.98042678833008,1.1744384765625,1.1681594848632813,20.22760009765625,0,17932.73193359375,10177.698669433594,35.364501953125,16833806336,10737418240,8769662976,0
200,1740512336676,1506,1506,1506,1506,1500,1500,1500,1500,1506,2300,2300,2300,2300,2300,1506,1506,0,0,0.10451507568359375,0,0,0,0,0,0,0,0.12401580810546875,55.82395553588867,67.17298126220703,0,0,14.66851806640625,0,17934.24591064453,10178.701171875,35.3681640625,16833806336,10737418240,8769359872,0
200,1740512336876,1506,1506,1506,1506,1500,1500,1500,1500,1506,2300,2300,2300,2300,2300,1506,1506,1.3265609741210938,1.2568817138671875,1.3502578735351563,1.2318572998046875,1.231903076171875,1.2304763793945313,1.2295913696289063,1.2279205322265625,1.2396774291992188,1.2391357421875,2.1781234741210938,62.8021125793457,58.40864944458008,1.1917343139648438,1.2169570922851563,16.683204650878906,0,17935.620361328125,10179.568481445313,35.37103271484375,16833806336,10737418240,8769282048,0
200,1740512337076,1506,1506,1506,1506,1500,1500,1500,1500,1506,2300,2300,2300,2300,2300,1506,1506,0,0,0,0,0,0,0,0,0,0,0,36.87336349487305,80.60845947265625,0,0,20.86102294921875,0,17937.258361816406,10180.735046386719,35.3717041015625,16833806336,10737418240,8770826240,0
200,1740512337277,1506,1506,1506,1506,1500,1500,1500,1500,1506,2300,2300,2300,2300,2300,1506,1506,1.3525619506835938,1.3519210815429688,1.3569488525390625,1.3574905395507813,1.39471435546875,1.3701629638671875,1.36700439453125,1.3717422485351563,1.3583831787109375,1.357147216796875,2.22467041015625,18.009536743164063,89.46653747558594,1.2955169677734375,1.360748291015625,1.6143569946289063,0,17938.78839111328,10181.832946777344,35.371826171875,16833806336,10737418240,8770924544,0
199,1740512337477,1506,1506,1506,1506,1500,1500,1500,1500,1506,2300,2300,2300,2300,2300,1506,1506,0,0,0,0,0,0,0,0,0,0,0,46.359127044677734,60.974613189697266,0,0,0,0,17940.29248046875,10182.882934570313,35.371826171875,16833806336,10737418240,8771117056,0
200,1740512337677,1506,1506,1506,1506,1500,1500,1500,1500,1506,2300,2300,2300,2300,2300,1506,1506,1.1554794311523438,1.1546859741210938,1.3221282958984375,1.1509323120117188,1.1530609130859375,1.1522674560546875,1.15167236328125,1.150238037109375,1.1558303833007813,1.1547393798828125,1.9464645385742188,40.651512145996094,64.63536071777344,1.1290206909179688,1.152069091796875,1.1508331298828125,0,17941.65478515625,10183.81884765625,35.371826171875,16833806336,10737418240,8771227648,0
200,1740512337878,1506,1506,1506,1506,1500,1500,1500,1500,1506,2300,2300,2300,2300,2300,1506,1506,0,0,0,0,0,0,0,0,0,0,0,28.2635498046875,76.23875427246094,0,0,0,0,17943.098510742188,10184.836608886719,35.371826171875,16833806336,10737418240,8771108864,0
200,1740512338078,1506,1506,1506,1506,1500,1500,1500,1500,1506,2300,2300,2300,2300,2300,1506,1506,1.25048828125,1.2305755615234375,1.25,1.22796630859375,1.2293930053710938,1.2296905517578125,1.3174819946289063,1.3211746215820313,1.2298355102539063,1.2299880981445313,2.10516357421875,21.00763702392578,92.65435028076172,1.2045974731445313,1.2281646728515625,1.7469100952148438,0,17944.668518066406,10185.958251953125,35.371826171875,16833806336,10737418240,8771620864,0
200,1740512338279,1506,1506,1506,1506,1500,1500,1500,1500,1506,2300,2300,2300,2300,2300,1506,1506,0,0,0,0,0,0,0,0,0,0,0,24.200424194335938,79.62584686279297,0,0,1.8010406494140625,0,17946.183227539063,10187.040954589844,35.371826171875,16833806336,10737418240,8771395584,0
