Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740515177426,4056,4056,4056,4056,4056,4056,4056,4056,54.98930740356445,54.955482482910156,54.437744140625,54.71748352050781,54.603736877441406,54.66511154174805,55.16442108154297,55.07720184326172,54.96424865722656,55.02693557739258,55.01739501953125,54.53252410888672,54.75014114379883,54.497291564941406,NaN,NaN,NaN,0,NaN,0,NaN,0,29.254478454589844,17179869184,9663676416,13734133760,9047703552
204,1740515177426,4056,4056,4056,4056,4056,4056,4056,4056,54.98930740356445,54.955482482910156,54.437744140625,54.71748352050781,54.603736877441406,54.66511154174805,55.16442108154297,55.07720184326172,54.96424865722656,55.02693557739258,55.01739501953125,54.53252410888672,54.75014114379883,54.497291564941406,0,0,100,0,0,NaN,0,0,29.254478454589844,17179869184,9663676416,13741850624,9047703552
204,1740515177630,4056,4056,4056,4056,4056,4056,4056,4056,54.98930740356445,54.955482482910156,54.437744140625,54.71748352050781,54.603736877441406,54.66511154174805,55.16442108154297,55.07720184326172,54.96424865722656,55.02693557739258,55.01739501953125,54.53252410888672,54.75014114379883,54.497291564941406,55,47.36842346191406,42.85714340209961,35,60.000003814697266,52.38095474243164,52.6315803527832,55,29.254478454589844,17179869184,9663676416,13759954944,9129558016
207,1740515177835,4056,4056,4056,4056,4056,4056,4056,4056,54.98930740356445,54.955482482910156,54.437744140625,54.71748352050781,54.603736877441406,54.66511154174805,55.16442108154297,55.07720184326172,54.96424865722656,55.02693557739258,55.01739501953125,54.53252410888672,54.75014114379883,54.497291564941406,30.000001907348633,28.571430206298828,15.789472579956055,15.000000953674316,20,25,23.809524536132813,23.809524536132813,14.879609107971191,17179869184,9663676416,13763608576,9129558016
200,1740515178043,4056,4056,4056,4056,4056,4056,4056,4056,54.98930740356445,54.955482482910156,54.437744140625,54.71748352050781,54.603736877441406,54.66511154174805,55.16442108154297,55.07720184326172,54.96424865722656,55.02693557739258,55.01739501953125,54.53252410888672,54.75014114379883,54.497291564941406,40,33.333335876464844,36.3636360168457,25,23.809524536132813,23.809524536132813,19.047618865966797,20,14.879609107971191,17179869184,9663676416,13763608576,9129558016
204,1740515178243,4056,4056,4056,4056,4056,4056,4056,4056,56.49517059326172,56.791072845458984,56.579952239990234,57.4454460144043,56.46400451660156,57.265655517578125,57.318302154541016,57.285125732421875,56.72676467895508,57.249595642089844,57.359642028808594,56.13044738769531,57.280975341796875,57.342437744140625,70,75,68.42105102539063,66.66667175292969,80,80.95238494873047,70,70,14.879609107971191,17179869184,9663676416,13758922752,9133948928
200,1740515178448,4056,4056,4056,4056,4056,4056,4056,4056,56.49517059326172,56.791072845458984,56.579952239990234,57.4454460144043,56.46400451660156,57.265655517578125,57.318302154541016,57.285125732421875,56.72676467895508,57.249595642089844,57.359642028808594,56.13044738769531,57.280975341796875,57.342437744140625,20,15.000000953674316,9.523809432983398,0,42.85714340209961,52.6315803527832,14.285715103149414,5,14.879609107971191,17179869184,9663676416,13757956096,9133948928
203,1740515178649,4056,4056,4056,4056,4056,4056,4056,4056,56.49517059326172,56.791072845458984,56.579952239990234,57.4454460144043,56.46400451660156,57.265655517578125,57.318302154541016,57.285125732421875,56.72676467895508,57.249595642089844,57.359642028808594,56.13044738769531,57.280975341796875,57.342437744140625,55,57.894737243652344,42.105262756347656,40,61.904762268066406,61.904762268066406,42.105262756347656,33.333335876464844,14.879609107971191,17179869184,9663676416,13768884224,9133948928
204,1740515178853,4056,4056,4056,4056,4056,4056,4056,4056,56.49517059326172,56.791072845458984,56.579952239990234,57.4454460144043,56.46400451660156,57.265655517578125,57.318302154541016,57.285125732421875,56.72676467895508,57.249595642089844,57.359642028808594,56.13044738769531,57.280975341796875,57.342437744140625,40,38.095237731933594,30.000001907348633,25,52.6315803527832,65,35,45,14.674108505249023,17179869184,9663676416,13743259648,9154199552
204,1740515179058,4056,4056,4056,4056,4056,4056,4056,4056,56.49517059326172,56.791072845458984,56.579952239990234,57.4454460144043,56.46400451660156,57.265655517578125,57.318302154541016,57.285125732421875,56.72676467895508,57.249595642089844,57.359642028808594,56.13044738769531,57.280975341796875,57.342437744140625,33.333335876464844,30.000001907348633,19.047618865966797,19.047618865966797,42.85714340209961,55,9.090909004211426,0,14.674108505249023,17179869184,9663676416,13745602560,9154199552
